#,Nome,Sq.,Under,R.,FM,FVMP,P,S
6645,Marchwinski,Lecce,23,C,0,1,,
6410,Kaba,Lecce,24,C,6,1,,
5286,Akpa Akpro,Verona,33,C,6,1,,
7255,Britschgi,Parma,19,D,0,1,,
7182,Ndaba,Lecce,26,D,0,1,,
7170,Mbambi,Pisa,17,D,0,1,,
7142,Esteves T.,Pisa,23,D,0,4,,
6660,Marcandalli,Genoa,23,D,"6,5",1,,
7277,Arena A.,Roma,16,A,0,1,,
7272,Gueye,Udinese,19,A,0,1,,
7264,Ambrosino,Napoli,22,A,0,1,,
7262,Balentien,Milan,19,A,0,1,,
7171,Buffon L.,Pisa,18,A,0,1,,
7159,Skjellerup,Sassuolo,23,A,0,1,,
7158,Moro L.,Sassuolo,24,A,0,1,,
6827,Njie,Torino,20,A,0,1,,
7223,Vergara,Napoli,22,C,0,1,,
7150,Vural,Pisa,19,C,0,1,,
7025,Cuenca H.,Genoa,20,C,0,1,,
6677,Adzic,Juventus,19,C,"10,5",1,1,8
6005,Ilkhan,Torino,21,C,5,1,,
5674,Basic,Lazio,29,C,0,1,,
2076,Rog,Cagliari,30,C,0,1,,
7268,Rodriguez Ju.,Cagliari,20,D,0,1,,
7238,Kouadio,Fiorentina,19,D,0,1,,
7164,Perez M.,Lecce,20,D,0,1,,
6874,Palacios T.,Inter,22,D,0,1,,
2847,Sernicola,Cremonese,28,D,0,1,,
7261,Cavlina,Como,23,P,0,1,,
7236,Toniolo,Verona,21,P,0,1,,
7185,Nunziante,Udinese,18,P,0,1,,
7172,Pessina Mas.,Bologna,18,P,0,1,,
7169,Zelezny,Roma,19,P,0,1,,
6991,Siegrist,Genoa,33,P,0,1,,
6813,Torriani,Milan,20,P,0,1,,
6662,Corvi,Parma,24,P,0,1,,
6523,Samooja,Lecce,22,P,0,1,,
6505,Nava,Cremonese,21,P,0,1,,
6417,Furlanetto,Lazio,23,P,0,1,,
6210,Popa,Torino,25,P,0,1,,
6184,Martinelli T.,Fiorentina,19,P,0,1,,
6125,Vasquez D.,Roma,27,P,0,1,,
5338,Rinaldi,Parma,23,P,0,1,,
5320,Paleari,Torino,33,P,0,1,,
4929,Ciocci,Cagliari,23,P,0,1,,
2845,Contini,Napoli,29,P,0,1,,
2815,Terracciano,Milan,35,P,6,,,
2809,Vigorito,Como,35,P,0,1,,
2401,Fruchtl,Lecce,25,P,0,1,,
2297,Rossi F.,Atalanta,34,P,0,1,,
2271,Nicolas,Pisa,37,P,0,1,,
2211,Silvestri,Cremonese,34,P,0,1,,
2127,Satalino,Sassuolo,26,P,0,1,,
1930,Pinsoglio,Juventus,35,P,0,1,,
1926,Di Gennaro,Inter,32,P,0,1,,
610,Gollini,Roma,30,P,0,1,,
574,Scuffet,Pisa,29,P,0,1,,
543,Padelli,Udinese,40,P,0,1,,
511,Perilli,Verona,30,P,0,1,,
219,Sommariva,Genoa,28,P,0,1,,
218,Perin,Juventus,33,P,0,1,,
158,Lezzerini,Fiorentina,30,P,0,1,,
4,Sportiello,Atalanta,33,P,0,1,,
3,Radunovic,Cagliari,29,P,0,1,,
